( weat_0001 "The weather at 1 A.M., on Sunday January 1.  outlook cloudy, 20 degrees, winds, North 2 miles per hour." )
( weat_0002 "The weather at 2 P.M., on Monday February 2.  outlook clear, 23 degrees, winds, , West 3 miles per hour with gusts to 6 miles per hour." )
( weat_0003 "The weather at 3 A.M., on Tuesday March 3.  outlook drizzle, 26 degrees, winds, South 4 miles per hour." )
( weat_0004 "The weather at 4 P.M., on Wednesday April 4.  outlook drizzle and fog, 29 degrees, winds, , East 5 miles per hour with gusts to 10 miles per hour." )
( weat_0005 "The weather at 5 P.M., on Thursday May 5.  outlook freezing drizzle, 32 degrees, winds, North East 6 miles per hour." )
( weat_0006 "The weather at 6 A.M., on Friday June 6.  outlook fair, 35 degrees, winds, , North West 7 miles per hour with gusts to 14 miles per hour." )
( weat_0007 "The weather at 7 P.M., on Saturday July 7.  outlook fog, 38 degrees, winds, South East 8 miles per hour." )
( weat_0008 "The weather at 8 A.M., on Sunday August 8.  outlook flurries, 41 degrees, winds, , South West 9 miles per hour with gusts to 18 miles per hour." )
( weat_0009 "The weather at 9 P.M., on Monday September 9.  outlook heavy rain, 44 degrees, winds, variable 10 miles per hour." )
( weat_0010 "The weather at 10 A.M., on Tuesday October 10.  outlook heavy snow, 47 degrees, winds, calm." )
( weat_0011 "The weather at 11 A.M., on Wednesday November 11.  outlook light rain, 50 degrees, winds, North 12 miles per hour." )
( weat_0012 "The weather at 12 P.M., on Thursday December 12.  outlook light snow, 53 degrees, winds, , West 13 miles per hour with gusts to 26 miles per hour." )
( weat_0013 "The weather at 1 A.M., on Friday January 13.  outlook mostly sunny, 56 degrees, winds, South 14 miles per hour." )
( weat_0014 "The weather at 2 P.M., on Saturday February 14.  outlook mostly cloudy, 59 degrees, winds, , East 15 miles per hour with gusts to 30 miles per hour." )
( weat_0015 "The weather at 3 A.M., on Sunday March 15.  outlook partly cloudy, 62 degrees, winds, North East 16 miles per hour." )
( weat_0016 "The weather at 4 A.M., on Monday April 16.  outlook partly sunny, 65 degrees, winds, , North West 17 miles per hour with gusts to 34 miles per hour." )
( weat_0017 "The weather at 5 P.M., on Tuesday May 17.  outlook rain, 68 degrees, winds, South East 18 miles per hour." )
( weat_0018 "The weather at 6 A.M., on Wednesday June 18.  outlook snow, 71 degrees, winds, , South West 19 miles per hour with gusts to 38 miles per hour." )
( weat_0019 "The weather at 7 P.M., on Tuesday July 19.  outlook not available, 74 degrees, winds, variable 20 miles per hour." )
( weat_0020 "The weather at 8 A.M., on Friday August 20.  outlook sunny, 77 degrees, winds, calm." )
( weat_0021 "The weather at 9 A.M., on Saturday September 21.  outlook thunderstorms, 80 degrees, winds, North 22 miles per hour." )
( weat_0022 "The weather at 10 P.M., on Sunday October 22.  outlook unknown, 83 degrees, winds, , West 23 miles per hour with gusts to 46 miles per hour." )
( weat_0023 "The weather at 11 A.M., on Monday November 23.  outlook cloudy, 86 degrees, winds, South 24 miles per hour." )
( weat_0024 "The weather at 12 P.M., on Tuesday December 24.  outlook clear, 89 degrees, winds, , East 25 miles per hour with gusts to 50 miles per hour." )
( weat_0025 "The weather at 1 A.M., on Wednesday January 25.  outlook drizzle, 92 degrees, winds, North East 26 miles per hour." )
( weat_0026 "The weather at 2 A.M., on Thursday February 26.  outlook drizzle and fog, 95 degrees, winds, , North West 27 miles per hour with gusts to 30 miles per hour." )
