( num0001 "0.123" )
( num0002 "4.567" )
( num0003 "8.901" )
( num0004 "10.214" )
( num0005 "11.325" )
( num0006 "12.436" )
( num0007 "13.547" )
( num0008 "14.658" )
( num0009 "15.769" )
( num0010 "16.870" )
( num0011 "17.981" )
( num0012 "18.092" )
( num0013 "19.1375" )
( num0014 "20" )
( num0015 "21.2680" )
( num0016 "32.3759" )
( num0017 "43.4631" )
( num0018 "54.5048" )
( num0019 "65.6159" )
( num0020 "86.7420" )
( num0021 "97.8260" )
( num0022 "88.0248" )
( num0023 "79.9753" )
( num0024 "100" )
( num0025 "210" )
( num0026 "320" )
( num0027 "430" )
( num0028 "540" )
( num0029 "650" )
( num0030 "760" )
( num0031 "870" )
( num0032 "980" )
( num0033 "1000" )
( num0034 "10,090" )
( num0035 "15,456,876" )
( num0036 "-5" )
( num0037 "1.4 billion" )
( num0038 "11" )
( num0039 "12" )
( num0040 "13" )
( num0041 "14" )
( num0042 "15" )
( num0043 "16" )
( num0044 "17" )
( num0045 "18" )
( num0046 "19" )
